Seed,Dataset,Model,Sequence Length,Embedding Size,Memory Usage (MB),Training Time (seconds),Training Time per Epoch (seconds),NDCG@10,HIT@10
123,Beauty,LinRec,100,128,24394,1518,304,0.255,0.398
123,Beauty,LinRec,100,256,25245,1807,361,0.241,0.378
0,ML-1M,BERT4Rec,50,64,507,255,13,0.277,0.493
0,ML-1M,BERT4Rec,50,128,622,273,14,0.389,0.633
0,ML-1M,BERT4Rec,50,256,873,282,14,0.480,0.709
0,ML-1M,BERT4Rec,100,64,1014,255,13,0.264,0.476
0,ML-1M,BERT4Rec,100,128,1248,265,13,0.360,0.610
0,ML-1M,BERT4Rec,100,256,1691,291,15,0.482,0.717
0,ML-1M,BERT4Rec,200,64,2104,276,14,0.261,0.480
0,ML-1M,BERT4Rec,200,128,2531,297,15,0.332,0.583
0,ML-1M,BERT4Rec,200,256,3431,324,16,0.473,0.710
0,ML-1M,Cotten4Rec,50,64,396,282,14,0.263,0.471
0,ML-1M,Cotten4Rec,50,128,499,408,20,0.305,0.533
0,ML-1M,Cotten4Rec,50,256,727,440,22,0.392,0.634
0,ML-1M,Cotten4Rec,100,64,764,367,18,0.264,0.477
0,ML-1M,Cotten4Rec,100,128,974,418,21,0.300,0.531
0,ML-1M,Cotten4Rec,100,256,1383,464,23,0.380,0.624
0,ML-1M,Cotten4Rec,200,64,1509,408,20,0.252,0.461
0,ML-1M,Cotten4Rec,200,128,1900,446,22,0.296,0.528
0,ML-1M,Cotten4Rec,200,256,2711,552,28,0.378,0.624
0,ML-1M,LinRec,50,64,506,281,14,0.266,0.482
0,ML-1M,LinRec,50,128,638,288,14,0.336,0.580
0,ML-1M,LinRec,50,256,932,295,15,0.471,0.705
0,ML-1M,LinRec,100,64,989,276,14,0.262,0.476
0,ML-1M,LinRec,100,128,1249,299,15,0.326,0.578
0,ML-1M,LinRec,100,256,1757,308,15,0.445,0.690
0,ML-1M,LinRec,200,64,1957,297,15,0.261,0.475
0,ML-1M,LinRec,200,128,2432,315,16,0.315,0.562
0,ML-1M,LinRec,200,256,3447,340,17,0.403,0.662
42,ML-1M,BERT4Rec,50,64,507,247,12,0.270,0.488
42,ML-1M,BERT4Rec,50,128,622,265,13,0.392,0.633
42,ML-1M,BERT4Rec,50,256,873,271,14,0.475,0.703
42,ML-1M,BERT4Rec,100,64,1014,255,13,0.264,0.478
42,ML-1M,BERT4Rec,100,128,1248,275,14,0.374,0.620
42,ML-1M,BERT4Rec,100,256,1691,310,16,0.483,0.707
42,ML-1M,BERT4Rec,200,64,2104,282,14,0.262,0.475
42,ML-1M,BERT4Rec,200,128,2531,280,14,0.361,0.618
42,ML-1M,BERT4Rec,200,256,3431,327,16,0.464,0.702
42,ML-1M,Cotten4Rec,50,64,396,364,18,0.266,0.479
42,ML-1M,Cotten4Rec,50,128,499,404,20,0.299,0.521
42,ML-1M,Cotten4Rec,50,256,727,483,24,0.385,0.615
42,ML-1M,Cotten4Rec,100,64,764,375,19,0.260,0.469
42,ML-1M,Cotten4Rec,100,128,974,442,22,0.299,0.524
42,ML-1M,Cotten4Rec,100,256,1383,512,26,0.379,0.621
42,ML-1M,Cotten4Rec,200,64,1509,410,20,0.257,0.467
42,ML-1M,Cotten4Rec,200,128,1900,474,24,0.299,0.526
42,ML-1M,Cotten4Rec,200,256,2711,544,27,0.374,0.618
42,ML-1M,LinRec,50,64,506,365,18,0.264,0.478
42,ML-1M,LinRec,50,128,638,289,14,0.342,0.587
42,ML-1M,LinRec,50,256,932,294,15,0.462,0.694
42,ML-1M,LinRec,100,64,989,280,14,0.262,0.474
42,ML-1M,LinRec,100,128,1249,292,15,0.325,0.572
42,ML-1M,LinRec,100,256,1757,326,16,0.439,0.676
42,ML-1M,LinRec,200,64,1957,294,15,0.259,0.464
42,ML-1M,LinRec,200,128,2432,307,15,0.320,0.570
42,ML-1M,LinRec,200,256,3447,333,17,0.374,0.627
123,ML-1M,BERT4Rec,50,64,507,246,12,0.273,0.482
123,ML-1M,BERT4Rec,50,128,622,272,14,0.398,0.641
123,ML-1M,BERT4Rec,50,256,873,284,14,0.479,0.702
123,ML-1M,BERT4Rec,100,64,1014,260,13,0.267,0.488
123,ML-1M,BERT4Rec,100,128,1248,269,13,0.370,0.617
123,ML-1M,BERT4Rec,100,256,1691,276,14,0.478,0.709
123,ML-1M,BERT4Rec,200,64,2104,277,14,0.260,0.473
123,ML-1M,BERT4Rec,200,128,2531,284,14,0.342,0.595
123,ML-1M,BERT4Rec,200,256,3431,334,17,0.467,0.705
123,ML-1M,Cotten4Rec,50,64,396,371,19,0.265,0.472
123,ML-1M,Cotten4Rec,50,128,499,433,22,0.297,0.519
123,ML-1M,Cotten4Rec,50,256,727,452,23,0.387,0.624
123,ML-1M,Cotten4Rec,100,64,764,374,19,0.260,0.477
123,ML-1M,Cotten4Rec,100,128,974,417,21,0.306,0.535
123,ML-1M,Cotten4Rec,100,256,1383,471,24,0.379,0.620
123,ML-1M,Cotten4Rec,200,64,1509,411,21,0.253,0.468
123,ML-1M,Cotten4Rec,200,128,1900,474,24,0.299,0.529
123,ML-1M,Cotten4Rec,200,256,2711,527,26,0.382,0.624
123,ML-1M,LinRec,50,64,506,278,14,0.263,0.475
123,ML-1M,LinRec,50,128,638,291,15,0.345,0.586
123,ML-1M,LinRec,50,256,932,291,15,0.467,0.704
123,ML-1M,LinRec,100,64,989,278,14,0.267,0.485
123,ML-1M,LinRec,100,128,1249,291,15,0.333,0.577
123,ML-1M,LinRec,100,256,1757,313,16,0.453,0.694
123,ML-1M,LinRec,200,64,1957,294,15,0.262,0.480
123,ML-1M,LinRec,200,128,2432,317,16,0.316,0.568
123,ML-1M,LinRec,200,256,3447,349,17,0.393,0.642
0,ML-20M,BERT4Rec,50,64,2792,609,30,0.721,0.921
0,ML-20M,BERT4Rec,50,128,2944,720,36,0.759,0.936
0,ML-20M,BERT4Rec,50,256,3258,1000,50,0.775,0.941
0,ML-20M,BERT4Rec,100,64,5546,896,45,0.724,0.927
0,ML-20M,BERT4Rec,100,128,5814,1148,57,0.761,0.940
0,ML-20M,BERT4Rec,100,256,6323,1713,86,0.785,0.945
0,ML-20M,BERT4Rec,200,64,11136,1522,76,0.724,0.926
0,ML-20M,BERT4Rec,200,128,11603,2033,102,0.762,0.944
0,ML-20M,BERT4Rec,200,256,12568,3188,159,0.783,0.946
42,ML-20M,BERT4Rec,50,64,2792,619,31,0.723,0.921
42,ML-20M,BERT4Rec,50,128,2944,737,37,0.757,0.936
42,ML-20M,BERT4Rec,50,256,3258,1029,51,0.774,0.941
42,ML-20M,BERT4Rec,100,64,5546,919,46,0.723,0.922
42,ML-20M,BERT4Rec,100,128,5814,1158,58,0.763,0.940
42,ML-20M,BERT4Rec,100,256,6323,1739,87,0.781,0.945
42,ML-20M,BERT4Rec,200,64,11136,1575,79,0.732,0.928
